term,doc_freq,is_seed
ter,12,0
pelo,12,0
estado,12,0
forma,12,0
elator,12,0
vitima,12,0
moraes,12,0
ww,12,0
condicoes,12,0
delito,12,0
brasileiro,12,0
mostra,12,0
republica,12,0
cf,12,0
legais,12,0
pela,12,0
dela,12,0
penais,12,0
autenticardocumento,12,0
iv,12,0
d,12,0
orgaos,12,0
desta,12,0
julgador,12,0
parte,12,0
pena,12,0
violenta,12,0
qualquer,12,0
sido,12,0
geral,12,0
razoes,12,0
composicao,12,0
paulo,12,0
ordem,12,0
criminal,12,0
requisitos,12,0
relacao,12,0
ministerio,12,0
ii,12,0
outro,12,0
ministros,12,0
crime,12,0
ocorrencia,12,0
acao,12,0
especifica,12,0
quanto,12,0
isso,12,0
golpe,12,0
processual,12,0
pleito,12,0
seguinte,12,0
maneira,12,0
todos,12,0
contudo,12,0
conforme,12,0
apuracao,12,0
estao,12,0
nessa,12,0
julgamento,12,0
recebimento,12,0
toffoli,12,0
tampouco,12,0
internos,12,0
portal,12,0
ederal,12,0
pessoas,12,0
embora,12,0
direitos,12,0
hipotese,12,0
luiz,12,0
foram,12,0
palavras,12,0
natureza,12,0
juiz,12,0
turma,12,0
tem,12,0
final,12,0
esta,12,0
direito,12,0
deve,12,0
titular,12,0
elementos,12,0
suprema,12,0
nem,12,0
inclusive,12,0
sob,12,0
lei,12,0
arts,12,0
estes,12,0
codigo,12,0
prosseguimento,12,0
b,12,0
exemplo,12,0
alexandre,12,0
junior,12,0
artigo,12,0
http,12,0
publico,12,0
senha,12,0
denuncia,12,0
caso,12,0
acusado,12,0
previstas,12,0
teor,12,0
fato,12,0
ambito,12,0
sintese,12,0
portanto,12,0
presentes,12,0
pagina,12,0
gilmar,12,0
flavio,12,0
dias,12,0
pet,12,0
trata,12,0
danos,12,0
dv,12,0
absoluta,12,0
i,12,0
virtual,12,0
essa,12,0
mesmo,12,0
judiciario,12,0
natural,12,0
penal,12,0
delas,12,0
autenticacao,12,0
hipoteses,12,0
juridico,12,0
cpp,12,0
face,12,0
inteiro,12,0
bem,12,0
medida,12,0
l,12,0
distrito,12,0
caracterizacao,12,0
principio,12,0
base,12,0
circunstancias,12,0
r,12,0
termos,12,0
br,12,0
t,12,0
preliminar,12,0
defesa,12,0
publicas,12,0
precedentes,12,0
lucia,12,0
partir,12,0
edson,12,0
discussao,12,0
material,12,0
tese,12,0
teori,12,0
crimes,12,0
adv,12,0
poder,12,0
causas,12,0
proced,12,0
subjetivo,12,0
esse,12,0
tipo,12,0
fachin,12,0
apurar,12,0
abolicao,12,0
nesse,12,0
in,12,0
ja,12,0
objetivas,12,0
suficiente,12,0
hc,12,0
legal,12,0
julgar,12,0
vislumbra,12,0
v,12,0
meio,12,0
instituicoes,12,0
fux,12,0
democratico,12,0
tentativa,12,0
f,12,0
pedido,12,0
imparcialidade,12,0
jus,12,0
outros,12,0
outra,12,0
nao,12,0
corte,12,0
tanto,12,0
suficientes,12,0
clara,12,0
recebeu,12,0
zavascki,12,0
inicial,12,0
independencia,12,0
eles,12,0
podera,12,0
seguintes,12,0
atos,12,0
criminoso,12,0
orgao,12,0
rol,12,0
presente,12,0
finalidade,12,0
logo,12,0
presenca,12,0
extrato,12,0
sentido,12,0
vantagem,12,0
exposto,12,0
c,12,0
previsao,12,0
peticao,12,0
senhor,12,0
fatos,12,0
p,12,0
deste,12,0
diretamente,12,0
previsto,12,0
mendes,12,0
razao,12,0
carmen,12,0
rel,12,0
pode,12,0
jurisprudencia,12,0
fora,12,0
existencia,12,0
n,12,0
residente,12,0
roberto,12,0
policial,12,0
nesta,12,0
notadamente,12,0
diverso,12,0
influir,12,0
dano,12,0
m,12,0
contra,12,0
s,12,0
inicio,12,0
atos_antidemocraticos,12,0
superior,12,0
resultado,12,0
sendo,12,0
delitos,12,0
alem,12,0
exercicio,12,0
ata,12,0
asp,12,0
justica,12,0
criacao,12,0
ed,12,0
min,12,0
ap,12,0
encontram,12,0
situacao,12,0
verifica,12,0
ele,12,0
todo,12,0
sem,12,0
expressa,12,0
constitucional,12,0
causa,12,0
ocorrendo,11,0
autor,11,0
autores,11,0
vez,11,0
tal,11,0
determinacao,11,0
brasileira,11,0
graves,11,0
constituicao,11,0
esses,11,0
direto,11,0
atlas,11,0
elas,11,0
corpus,11,0
bens,11,0
individualizada,11,0
mesma,11,0
condutas,11,0
tipos,11,0
respeito,11,0
liberdade,11,0
sp,11,0
fundamentais,11,0
senado,11,0
pais,11,0
valores,11,0
afirmou,11,0
minha,11,0
eleitoral,11,0
civis,11,0
tomadas,11,0
manifestacoes,11,0
organizacao,11,0
administrativo,11,0
demanda,11,0
garantia,11,0
grande,11,0
plenitude,11,0
discurso,11,0
inciso,11,0
consequencias,11,0
alguns,11,0
planos,11,0
janeiro,11,0
determinada,11,0
maior,11,0
manifestacao,11,0
protecao,11,0
decorre,11,0
milicias_digitais,11,0
regras,11,0
alemao,11,0
bolsonaro,11,0
povo,11,0
xxvii,11,0
pelos,11,0
mencionados,11,0
sociedade,11,0
demais,11,0
referidos,11,0
constitucionais,11,0
mediante,11,0
podem,11,0
celso,11,0
ultimo,11,0
dignidade,11,0
ora,11,0
porem,11,0
investigados,11,0
deu,11,0
fundado,11,0
licao,11,0
sistema,11,0
medidas,11,0
julgado,11,0
imprensa,11,0
for,11,0
realizacao,11,0
conviccao,11,0
diario,11,0
carater,11,0
grupo,11,0
investigadas,11,0
livre,11,0
tempo,11,0
peca,11,0
financeira,11,0
oliveira,11,0
tenham,11,0
plano,11,0
garantir,11,0
passo,11,0
justificar,11,0
bases,11,0
ordenamento,11,0
visando,11,0
probatoria,11,0
exigido,11,0
possivel,11,0
assegurar,11,0
excecao,11,0
grave,11,0
confirmou,11,0
paragrafo,11,0
perante,11,0
inquerito,11,0
si,11,0
essencialmente,11,0
desses,11,0
contrarias,11,0
confianca,11,0
acoes,11,0
cabo,11,0
funcao,11,0
lo,11,0
virtude,11,0
rio,11,0
justa,11,0
agora,11,0
essenciais,11,0
juizes,11,0
seja,11,0
legislador,11,0
analise,11,0
inq,11,0
j,11,0
assim,11,0
apontado,11,0
legitima,11,0
habeas,11,0
morais,11,0
feito,11,0
principalmente,11,0
dentre,11,0
manual,11,0
conhecimento,11,0
resp,11,0
silva,11,0
marco,11,0
filipe,11,0
duvidas,11,0
eis,11,0
policia,11,0
gerais,11,0
fim,11,0
posterior,11,0
agr,11,0
dessa,11,0
procedimentos,11,0
andre,11,0
funcoes,11,0
autoridades,11,0
importante,11,0
devido,11,0
unico,11,0
eventualmente,11,0
especificamente,11,0
instrucao,11,0
verdadeira,11,0
criminais,11,0
renato,11,0
gerando,11,0
camara,11,0
vinculo,11,0
anos,11,0
desse,11,0
tendo,11,0
havendo,11,0
conclusao,11,0
objetivo,11,0
desde,11,0
barroso,11,0
especifico,11,0
sera,11,0
lhe,11,0
haja,11,0
agravada,11,0
criminosa,11,0
propria,11,0
objetividade,11,0
acima,11,0
agente,11,0
g,11,0
processar,11,0
legitimidade,11,0
pelas,11,0
atividade,11,0
isto,11,0
preliminares,11,0
inicialmente,11,0
dispositivos,11,0
aponta,11,0
lugar,11,0
suma,11,0
membros,11,0
ponto,11,0
juizo,11,0
decidiu,11,0
particular,11,0
critica,11,0
descritas,11,0
teria,11,0
necessario,11,0
vincula,11,0
financiadores,11,0
gustavo,11,0
principios,11,0
exige,11,0
ninguem,11,0
local,11,0
juizos,11,0
consequentemente,11,0
houver,11,0
tais,11,0
provimento,11,0
valor,11,0
deixou,11,0
observancia,11,0
lii,11,0
nega,11,0
conquista,11,0
secretaria,11,0
formal,11,0
pessoais,11,0
ausencia,11,0
investigacoes,11,0
aquele,11,0
historica,11,0
todas,11,0
especialmente,11,0
nacional,11,0
apenas,11,0
expressao,11,0
real,11,0
essas,11,0
original,11,0
lhes,11,0
afastamento,11,0
objetivando,11,0
acusatorio,11,0
administracao,11,0
somente,11,0
neste,11,0
pratica,11,0
estatal,11,0
publicos,11,0
seguranca,11,0
encontra,11,0
consequente,11,0
quebra,11,0
revela,11,0
vinculos,11,0
prerrogativa,11,0
autoridade,11,0
legitimamente,11,0
conduta,11,0
pessoa,11,0
martins,11,0
ainda,11,0
posteriormente,11,0
identificacao,11,0
acordo,11,0
investigado,11,0
acerca,11,0
proibicao,11,0
outras,11,0
judicial,11,0
essencia,11,0
objeto,11,0
maioria,11,0
ato,11,0
ocorre,11,0
proprio,11,0
evidente,11,0
garantias,11,0
diversas,11,0
istrito,11,0
derecho,11,0
este,11,0
agravo,11,0
individual,11,0
aqui,11,0
contexto,11,0
via,11,0
mesmos,11,0
consagrado,11,0
poderes,11,0
disso,11,0
descreve,11,0
diversos,11,0
possibilidade,11,0
texto,11,0
tribunais,11,0
previstos,11,0
narrativa,11,0
supostamente,11,0
agentes,11,0
julgados,11,0
alguma,11,0
dia,11,0
regimental,11,0
sentenca,11,0
brasil,11,0
diante,11,0
eleicoes,11,0
praticados,11,0
afirma,11,0
separacao,11,0
legalmente,11,0
abrangente,11,0
patrimonio,10,0
barreiras,10,0
mandamento,10,0
relativo,10,0
influencia,10,0
instancia,10,0
estar,10,0
observadas,10,0
devendo,10,0
privado,10,0
atentatorias,10,0
precisa,10,0
acusatoria,10,0
empresa,10,0
aniquilar,10,0
concretizam,10,0
forca,10,0
territorial,10,0
praca_dos_tres_poderes,10,0
injusto,10,0
atual,10,0
preciosa,10,0
girao,10,0
analisada,10,0
associacao,10,0
instigacao,10,0
legitimo,10,0
estrutura,10,0
antidemocraticos,10,0
proclamadas,10,0
tipificada,10,0
inqueritos,10,0
incisos,10,0
infracoes,10,0
cpf,10,0
estava,10,0
britto,10,0
configura,10,0
empregou,10,0
dentro,10,0
formuladas,10,0
dirigida,10,0
executores,10,0
ofereceu,10,0
ampla,10,0
punibilidade,10,0
determinaram,10,0
lado,10,0
juris,10,0
concentracao,10,0
informacao,10,0
compreensivel,10,0
descobrir,10,0
perseguicao,10,0
salvaguardar,10,0
componentes,10,0
posicionamento,10,0
nada,10,0
narra,10,0
originalmente,10,0
incompetentes,10,0
nitida,10,0
paridade,10,0
instalacao,10,0
atuar,10,0
responsabilizacao,10,0
estando,10,0
visto,10,0
produziu,10,0
jurgem,10,0
procedimento,10,0
quid,10,0
foro,10,0
weimar,10,0
individuo,10,0
fiscalizacao,10,0
quis,10,0
lexandre,10,0
total,10,0
estreita,10,0
obstante,10,0
idoneos,10,0
traduz,10,0
integrado,10,0
definitivo,10,0
inepcia,10,0
permitiu,10,0
origem,10,0
multidao,10,0
joao,10,0
maleficio,10,0
auxilio,10,0
lideres,10,0
independentes,10,0
inqs,10,0
culpabilidade,10,0
consagra,10,0
tendencia,10,0
estendeu,10,0
ressalte,10,0
pregando,10,0
preve,10,0
homicidio,10,0
imputadas,10,0
atraves,10,0
aurelio,10,0
eventos,10,0
qualificacao,10,0
aquelas,10,0
momento,10,0
conduzidas,10,0
conseguinte,10,0
sudamerica,10,0
fator,10,0
extensao,10,0
ruptura,10,0
proibir,10,0
ano,10,0
sobretudo,10,0
individualizados,10,0
indicar,10,0
imputacao,10,0
fernandes,10,0
vinculada,10,0
sumaria,10,0
naturalidade,10,0
instaurado,10,0
criminosas,10,0
publica,10,0
caput,10,0
introduzidas,10,0
so,10,0
coletiva,10,0
investigacao,10,0
competencia,10,0
testemunhas,10,0
contem,10,0
grupos,10,0
regime,10,0
verificacao,10,0
motivo,10,0
lumen,10,0
controlar,10,0
acusados,10,0
instituicao,10,0
malfadada,10,0
autoria,10,0
governo,10,0
sc,10,0
insurgencia,10,0
criminosos,10,0
nota,10,0
coisa,10,0
vista,10,0
conseguir,10,0
recursos,10,0
objetos,10,0
frente,10,0
contraditorio,10,0
serios,10,0
expos,10,0
persecutorios,10,0
novos,10,0
denominados,10,0
atribuidas,10,0
integrantes,10,0
armada,10,0
rejeicao,10,0
aperfeicoadas,10,0
regimentos,10,0
omissao,10,0
ultimos,10,0
toda,10,0
prevencao,10,0
conexao,10,0
nenhum,10,0
extincao,10,0
pp,10,0
ayres,10,0
praticou,10,0
