,8_de_janeiro_de_2023,abolição,ameaça,armada,associação,atos,atos_antidemocraticos,conduta,congresso_nacional,considerável,constituído,crime,dano,delito,democrático,denuncia,deterioração,direito,emprego,estado,exercício,federal,golpe,governo,grave,grupo,invasão,legitimamente,manifestante,militar,palacio_do_planalto,patrimônio,poder,polícia,praca_dos_tres_poderes,prejuízo,prática,prédio,público,qualificado,relatório,república,réu,sede,tentativa,tombado,união,violencia,voto,vítima
8_de_janeiro_de_2023,0.0,0.0,0.0,0.0,0.0,0.2919396316754582,0.003148919604144162,0.0,0.12835603756734412,0.0,0.0,0.03495161638786267,0.0,0.027934742150794153,0.0,0.09799637009349292,0.0,0.0,0.0,0.0,0.0,0.11882343064794082,0.0,0.0,0.0,0.0,0.1309042340177977,0.0,0.0,0.0,0.0,0.0,0.0,0.062244531765207445,0.030036759043321523,0.0,0.10681036428279432,0.00833862109024086,0.051111388695743616,0.0,0.30928616622159705,0.0,0.0,0.24160546177657427,0.0,0.0,0.0,0.0,0.0,0.0
abolição,0.0,0.0,0.32877319207678485,0.41105560984511186,0.39251242616152,0.0,0.0419439351052649,0.16537815319226415,0.0,0.466647903850102,0.128926473403627,0.19846150599232262,0.38765822441973335,0.2108418134601933,0.4792567195435631,0.06923703220373599,0.4374646630740848,0.44760784572547324,0.2943569254130012,0.33691498309338774,0.14916406553477635,0.0,0.36898496669809405,0.06808122486832267,0.3138072078780726,0.0,0.0,0.16866078025009965,0.0,0.0,0.0,0.2907823674163854,0.03171604473318342,0.0,0.0,0.34230124273304147,0.29038480057416205,0.0,0.0,0.5269322818637596,0.0,0.058957263545950385,0.1327964926585277,0.02800150296732386,0.32317497552773894,0.43010851302347136,0.4284184782606416,0.3460277270160468,0.0,0.47202805235745615
ameaça,0.0,0.32877319207678485,0.0,0.27736174227653293,0.2540391790411058,0.0,0.0,0.21853720452576358,0.03551575729666881,0.6111560688349069,0.40034868291912495,0.14904818552126095,0.3008074655244798,0.15694178844265086,0.2950607933887936,0.008065685828636041,0.43347004591293203,0.27469366706658555,0.542747023329681,0.23614584327778687,0.34794318562445287,0.0,0.2564637857711891,0.2733671051569917,0.5909705428442312,0.0,0.0,0.42776324973396196,0.0,0.0,0.0,0.33406602753644554,0.12217519782958548,0.0,0.005458785400767946,0.48950058100302446,0.14598749905530137,0.0,0.0,0.44294443046432785,0.0,0.0,0.013488282196647182,0.14207036326501193,0.17072202648571178,0.36748636043805705,0.5884854913663362,0.35931989026888084,0.0,0.5910396292609755
armada,0.0,0.41105560984511186,0.27736174227653293,0.0,0.5205086893406089,0.0,0.0,0.23496049295722443,0.0,0.5111514653584438,0.0,0.21884502083030397,0.4126390860820241,0.0,0.325430320739498,0.1346309016459593,0.5197110704331734,0.3005117688697425,0.2552059908121784,0.2509426841756337,0.05353148359211545,0.0,0.31087352106753335,0.0,0.28638321169272607,0.0,0.0,0.0,0.0,0.00436078538870563,0.0,0.346619347289843,0.043116475923282986,0.0,0.0,0.3831272160882662,0.20713146848100358,0.0,0.0,0.5882258882160437,0.0,0.0,0.10981747893768384,0.0,0.24405243396940574,0.5480628966370643,0.4646709353391511,0.2277347959124777,0.0,0.5122945934023814
associação,0.0,0.39251242616152,0.2540391790411058,0.5205086893406089,0.0,0.018612924773227266,0.3275451202227593,0.34524875628348967,0.00044414305077396054,0.38904195213489007,0.0,0.2912222099931994,0.35719523551756016,0.19312557274681702,0.28635093836412195,0.1982938008896589,0.3872596820824952,0.2696201900579001,0.2730078961006302,0.19472257356735886,0.03196697431988346,0.0,0.2655261561946456,0.0,0.19675898820945475,0.0,0.0,0.0,0.0,0.0,0.0,0.24606160026250198,0.0,0.0,0.0,0.259336168161225,0.3767433446889328,0.0,0.0,0.5045711771343361,0.0,0.0,0.06345680904136274,0.0,0.0,0.41386338716533944,0.34516487043251565,0.1830607785386451,0.0,0.3799991752667306
atos,0.2919396316754582,0.0,0.0,0.0,0.018612924773227266,0.0,0.0,0.01727573673726285,0.15345971384022147,0.0,0.0,0.018107652989637575,0.0,0.0,0.0,0.12253708267772086,0.0,0.0,0.0,0.0,0.0,0.01638177819094281,0.0,0.0,0.0,0.014005057601513939,0.23848288521409725,0.0,0.0,0.0,0.008091805327391743,0.0,0.0,0.012526410511842627,0.10406133517864938,0.0,0.14318885784247135,0.10433423613825195,0.12098622138240797,0.0,0.07697388968781639,0.06099963746385006,0.0,0.0957604478226377,0.006155464905367891,0.0,0.0,0.0,0.0,0.0
atos_antidemocraticos,0.003148919604144162,0.0419439351052649,0.0,0.0,0.3275451202227593,0.0,0.0,0.0,0.0,0.0,0.0,0.11949056022109518,0.0,0.16228036274568972,0.0,0.1005331980762395,0.0,0.0,0.0,0.0,0.03376295137323121,0.11804420559531506,0.0,0.0,0.0,0.01124044077714391,0.0,0.0,0.0,0.09317966414949003,0.0,0.0,0.008845480980208039,0.1150292158877235,0.0,0.0,0.3294953992942987,0.0,0.0,0.0,0.18959730466219601,0.0,0.0,0.18922048538882685,0.013398719241024357,0.0,0.0,0.0,0.0,0.0
conduta,0.0,0.16537815319226415,0.21853720452576358,0.23496049295722443,0.34524875628348967,0.01727573673726285,0.0,0.0,0.014924342259553493,0.3118183707951757,0.11409499507074077,0.15952541590554542,0.18663948266269412,0.107158633436869,0.21273924219873178,0.17464575788306283,0.13966518354762772,0.1820569701747852,0.2147519501980844,0.18981216159116662,0.09862862279757596,0.0,0.19573732150206632,0.0,0.250413671289576,0.0,0.08308390665691898,0.014003294428252693,0.0,0.0,0.0,0.13225836020129886,0.0,0.0,0.0,0.18281797651109674,0.2875986094197623,0.0,0.0,0.31885578983822427,0.0,0.0,0.1096704649209247,0.0,0.04128393950322933,0.1629138592519575,0.2833526000848498,0.10757604930257846,0.0,0.3271283318691868
congresso_nacional,0.12835603756734412,0.0,0.03551575729666881,0.0,0.00044414305077396054,0.15345971384022147,0.0,0.014924342259553493,0.0,0.16617545046954618,0.15763623183682618,0.07247870865662712,0.0,0.16121067775356338,0.0,0.21526545161035873,0.0,0.0,0.17704619374811031,0.0,0.17557445842840108,0.0,0.0,0.14969164665893525,0.026668961388257487,0.2948149133915295,0.3923158330627734,0.19797729859612262,0.0,0.0,0.37269355594191783,0.12721419838204048,0.16070725984377132,0.0,0.34019352772272077,0.13630880581434196,0.0,0.39881117454545717,0.10457478590708455,0.0,0.0,0.061890633593345006,0.0,0.4445277753252718,0.0,0.0,0.20944357261705077,0.04734013861957301,0.0,0.10326872776485269
considerável,0.0,0.466647903850102,0.6111560688349069,0.5111514653584438,0.38904195213489007,0.0,0.0,0.3118183707951757,0.16617545046954618,0.0,0.0,0.22041186402963936,0.5985770806729607,0.10862250957547454,0.35637242367655886,0.18373302947431694,0.7972332771532191,0.33795458215629604,0.6885617102850674,0.24033295068397345,0.0,0.0,0.3181834059593965,0.0,0.6469288753918788,0.0,0.0,0.016791287992948385,0.0,0.0,0.0,0.6595347873080456,0.0,0.0,0.0,0.8872007975588054,0.2028779217262322,0.039163254941640344,0.0,0.7719945199586457,0.0,0.0,0.0,0.1658340259721444,0.32419000669894427,0.7580863443717238,0.946049380560164,0.37298921051990697,0.0,1.0
constituído,0.0,0.128926473403627,0.40034868291912495,0.0,0.0,0.0,0.0,0.11409499507074077,0.15763623183682618,0.0,0.0,0.053342890829275354,0.0,0.23595933538405545,0.17508409770521016,0.0,0.0,0.15364377632195178,0.39227994216107287,0.21914865304650993,0.4846195011920807,0.0,0.13628798934516353,0.7275793672921781,0.4294927279870788,0.04638305948791158,0.0,0.895909140560859,0.0,0.18206191932983273,0.0,0.0,0.411440072764078,0.0,0.05022148701517994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941615492044075,0.3436034319831592,0.014301414804701538,0.0,0.1495394609325045,0.2851756524537954,0.03437604675216007,0.0
crime,0.03495161638786267,0.19846150599232262,0.14904818552126095,0.21884502083030397,0.2912222099931994,0.018107652989637575,0.11949056022109518,0.15952541590554542,0.07247870865662712,0.22041186402963936,0.053342890829275354,0.0,0.1531543265972193,0.05386580727749556,0.17034103028536363,0.10589913959118803,0.23751451620180203,0.15535214192335656,0.14150238290434705,0.12491213802092561,0.10377109722441397,0.0,0.1344936995879083,0.0018125263569713803,0.14079241906543863,0.04947265477524953,0.0,0.034749478064516295,0.0,0.0,0.0,0.15784458789303651,0.022098477408727692,0.0,0.04260688289209587,0.15740426078370887,0.18414216948876097,0.0,0.02395083665293978,0.25106489470517074,0.0,0.0,0.08103640473703341,0.054313523753255724,0.10992528047729302,0.21859601926893305,0.20986757266433484,0.1307320175684115,0.0,0.21418251608885028
dano,0.0,0.38765822441973335,0.3008074655244798,0.4126390860820241,0.35719523551756016,0.0,0.0,0.18663948266269412,0.0,0.5985770806729607,0.0,0.1531543265972193,0.0,0.16059954642306554,0.2947948775817822,0.09219662585623004,0.5850071961365764,0.2745379988304001,0.35741175262643743,0.18914376008677672,0.0,0.0,0.2437554411899107,0.0,0.35029582027967415,0.0,0.0,0.0,0.0,0.0,0.0,0.5379892321044669,0.0,0.0,0.0,0.5692432825130825,0.15607002855060328,0.0,0.07652884838821136,0.6803070934565494,0.11608971464495564,0.0,0.11459988656043157,0.0,0.17277188844895072,0.6260724864407473,0.5751593176277832,0.2437344285056678,0.0,0.5945084779986065
delito,0.027934742150794153,0.2108418134601933,0.15694178844265086,0.0,0.19312557274681702,0.0,0.16228036274568972,0.107158633436869,0.16121067775356338,0.10862250957547454,0.23595933538405545,0.05386580727749556,0.16059954642306554,0.0,0.18286399081423876,0.0702219427591741,0.09950788346652813,0.17070458285314935,0.1455305944755806,0.18518997260513523,0.0,0.0,0.14417511030181998,0.2465098692738246,0.12231358125449869,0.0,0.0,0.2099409120414988,0.0,0.0,0.0,0.08561315660340992,0.0963784872538309,0.0,0.0,0.0,0.2568244367257283,0.0,0.0,0.10401054302650962,0.0,0.140507681961113,0.017109024214757292,0.011996493965222196,0.0,0.14450917755831133,0.12128445851473071,0.09838281707463666,0.001627666080070512,0.15144298903242995
democrático,0.0,0.4792567195435631,0.2950607933887936,0.325430320739498,0.28635093836412195,0.0,0.0,0.21273924219873178,0.0,0.35637242367655886,0.17508409770521016,0.17034103028536363,0.2947948775817822,0.18286399081423876,0.0,0.04016381701549898,0.3455262338796581,0.44412918629670545,0.31552346327299924,0.33371777812800707,0.29351548194100974,0.0,0.30089312300099347,0.08077858580788753,0.2952756774515415,0.0,0.0,0.17106908184477537,0.0,0.0,0.0,0.2139257406199232,0.11752757493944198,0.0,0.0,0.2328870850531278,0.21912756327646227,0.0,0.0,0.41861048911203963,0.0,0.051890644843314876,0.08938351479863481,0.015296950074202897,0.23951572027170823,0.33549347293576826,0.33171792810650874,0.28110962977677484,0.0,0.3638720309551363
denuncia,0.09799637009349292,0.06923703220373599,0.008065685828636041,0.1346309016459593,0.1982938008896589,0.12253708267772086,0.1005331980762395,0.17464575788306283,0.21526545161035873,0.18373302947431694,0.0,0.10589913959118803,0.09219662585623004,0.0702219427591741,0.04016381701549898,0.0,0.16169497376978847,0.04759697094883054,0.1451194009376283,0.012532263473584717,0.17680509502742464,0.0,0.0,0.0,0.03141157990214662,0.040066198969853334,0.0,0.0,0.0,0.0,0.011904055613555928,0.0964794795417758,0.052177657273324844,0.0,0.07494811508851382,0.09068194615964327,0.014978880997292441,0.09377331495827866,0.03532269654527424,0.14011087304431094,0.0,0.0240958191788599,0.0,0.13259298295188973,0.0,0.12797421268178968,0.19030372980265323,0.014805974620494752,0.0,0.2002903595217846
deterioração,0.0,0.4374646630740848,0.43347004591293203,0.5197110704331734,0.3872596820824952,0.0,0.0,0.13966518354762772,0.0,0.7972332771532191,0.0,0.23751451620180203,0.5850071961365764,0.09950788346652813,0.3455262338796581,0.16169497376978847,0.0,0.32685921639825666,0.49007080978650025,0.25708078804315493,0.0,0.0,0.33430036527357315,0.0,0.4735183826008257,0.0,0.0,0.0,0.0,0.0,0.0,0.6561687848710231,0.0,0.0,0.0,0.6784780447069417,0.20260841819858244,0.0,0.0,0.7703067701175984,0.0,0.0,0.11099154404411132,0.00897314260422542,0.23834782511646627,0.8468349950424824,0.7677474792907607,0.32698162257313185,0.0,0.8010423655500901
direito,0.0,0.44760784572547324,0.27469366706658555,0.3005117688697425,0.2696201900579001,0.0,0.0,0.1820569701747852,0.0,0.33795458215629604,0.15364377632195178,0.15535214192335656,0.2745379988304001,0.17070458285314935,0.44412918629670545,0.04759697094883054,0.32685921639825666,0.0,0.2948904698137535,0.3208772232271801,0.2939643663733327,0.0,0.28052018914677784,0.08218649456207008,0.27522225404642453,0.0,0.0,0.15133381378426528,0.0,0.0,0.0,0.2061366878154068,0.1116253672010796,0.0,0.0,0.21340667663151708,0.21508896353540946,0.0,0.0,0.39884657200607665,0.0,0.045915151231365636,0.07569016514146165,0.0,0.2130005085793884,0.32122653834460313,0.3135023368900656,0.2613565265335384,0.0,0.3452183407319257
emprego,0.0,0.2943569254130012,0.542747023329681,0.2552059908121784,0.2730078961006302,0.0,0.0,0.2147519501980844,0.17704619374811031,0.6885617102850674,0.39227994216107287,0.14150238290434705,0.35741175262643743,0.1455305944755806,0.31552346327299924,0.1451194009376283,0.49007080978650025,0.2948904698137535,0.0,0.2199421681449775,0.4024170281484852,0.0,0.1522769543793184,0.2599361305134336,0.5733524654416023,0.04354627990987943,0.0,0.4530840349522173,0.0,0.0,0.0,0.4201102379535182,0.21981589825675188,0.0,0.19043548707357616,0.5697056987991551,0.0,0.17715542303658788,0.04071432843614725,0.473082116731811,0.0,0.03719923258442953,0.001443425557086082,0.3268379539762535,0.0,0.3812996767026739,0.6656099646336444,0.3602689524227469,0.0,0.657068337371477
estado,0.0,0.33691498309338774,0.23614584327778687,0.2509426841756337,0.19472257356735886,0.0,0.0,0.18981216159116662,0.0,0.24033295068397345,0.21914865304650993,0.12491213802092561,0.18914376008677672,0.18518997260513523,0.33371777812800707,0.012532263473584717,0.25708078804315493,0.3208772232271801,0.2199421681449775,0.0,0.17094367139117472,0.0,0.31258566168978535,0.18069831498386477,0.24308486488625017,0.0,0.0,0.2293310511059749,0.0,0.0,0.0,0.1455011950158232,0.09026495675476366,0.0,0.0,0.11806344010957656,0.15947214939988044,0.0,0.0,0.30852713124548875,0.0,0.03267841388765293,0.09318536939822557,0.0,0.21411728526601845,0.2446729707758033,0.2216527070388708,0.20638079585901895,0.0,0.24299251888898502
exercício,0.0,0.14916406553477635,0.34794318562445287,0.05353148359211545,0.03196697431988346,0.0,0.03376295137323121,0.09862862279757596,0.17557445842840108,0.0,0.4846195011920807,0.10377109722441397,0.0,0.0,0.29351548194100974,0.17680509502742464,0.0,0.2939643663733327,0.4024170281484852,0.17094367139117472,0.0,0.0,0.0,0.38473632687433534,0.38797494893623546,0.25822699996344695,0.0,0.5265777720968099,0.0,0.06392452594194241,0.0,0.0,0.5218218723759168,0.0,0.2544505094718112,0.0,0.0,0.00965648531374722,0.11075311130587555,0.0,0.0,0.21767142421072505,0.0,0.20382145445370783,0.08122234914612374,0.0,0.0,0.2623558331970387,0.0,0.0
federal,0.11882343064794082,0.0,0.0,0.0,0.0,0.01638177819094281,0.11804420559531506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046810542471609165,0.0,0.01597495333147062,0.09054079000485148,0.034307682368263225,0.0,0.3138904915868079,0.0,0.017454000140743574,0.0,0.5593833576694746,0.12412400142277079,0.06717743309677181,0.0,0.0,0.18489295395951674,0.0,0.4281374293531562,0.026836352875386382,0.0,0.28405375870837274,0.02571399656501818,0.0,0.0,0.0,0.007177992181693438,0.0
golpe,0.0,0.36898496669809405,0.2564637857711891,0.31087352106753335,0.2655261561946456,0.0,0.0,0.19573732150206632,0.0,0.3181834059593965,0.13628798934516353,0.1344936995879083,0.2437554411899107,0.14417511030181998,0.30089312300099347,0.0,0.33430036527357315,0.28052018914677784,0.1522769543793184,0.31258566168978535,0.0,0.0,0.0,0.10838967699378875,0.2588081000829215,0.0,0.0,0.13667832073108843,0.0,0.005948612688360967,0.0,0.18713320995853103,0.0,0.0,0.0,0.18813897856304934,0.18818860309931312,0.0,0.0,0.4056259233775939,0.0,0.042499620663274264,0.15066533026806242,0.0,0.2866569463301741,0.3241920331966703,0.28045077645401734,0.21712226212369057,0.0,0.3228630657202091
governo,0.0,0.06808122486832267,0.2733671051569917,0.0,0.0,0.0,0.0,0.0,0.14969164665893525,0.0,0.7275793672921781,0.0018125263569713803,0.0,0.2465098692738246,0.08077858580788753,0.0,0.0,0.08218649456207008,0.2599361305134336,0.18069831498386477,0.38473632687433534,0.046810542471609165,0.10838967699378875,0.0,0.28752336154264246,0.14716281835514466,0.0,0.7845024727347185,0.0,0.3338478798279687,0.02363425855163744,0.0,0.31266670496420423,0.0,0.13045783786088633,0.0,0.0,0.0,0.021045904793127075,0.0,0.0,0.163988606825047,0.053410489591691326,0.29112580413196265,0.07901991507170344,0.0,0.0,0.2200125811199536,0.02364944825623494,0.0
grave,0.0,0.3138072078780726,0.5909705428442312,0.28638321169272607,0.19675898820945475,0.0,0.0,0.250413671289576,0.026668961388257487,0.6469288753918788,0.4294927279870788,0.14079241906543863,0.35029582027967415,0.12231358125449869,0.2952756774515415,0.03141157990214662,0.4735183826008257,0.27522225404642453,0.5733524654416023,0.24308486488625017,0.38797494893623546,0.0,0.2588081000829215,0.28752336154264246,0.0,0.0,0.0,0.46754245060557525,0.0,0.0,0.0,0.39464812893993034,0.14051578722733077,0.0,0.0,0.5230861338425958,0.1215386547269419,0.0,0.023780321464308852,0.4963517777622477,0.0,0.0,0.07973921319529982,0.13521456407413518,0.22533602913603623,0.4356365574967139,0.6264337367843215,0.3582023741454229,0.0,0.6306265788941517
grupo,0.0,0.0,0.0,0.0,0.0,0.014005057601513939,0.01124044077714391,0.0,0.2948149133915295,0.0,0.04638305948791158,0.04947265477524953,0.0,0.0,0.0,0.040066198969853334,0.0,0.0,0.04354627990987943,0.0,0.25822699996344695,0.01597495333147062,0.0,0.14716281835514466,0.0,0.0,0.20832469092510486,0.0871352941483308,0.011783304469829496,0.15429504000901437,0.1710090587851904,0.0,0.22398298464842156,0.0,0.14142670089521703,0.0,0.0,0.14724326162578744,0.07889964583552962,0.0,0.009434240958659353,0.08462456315651394,0.0,0.3163945788519426,0.0,0.0,0.0,0.007794751980229719,0.0,0.0
