,8_de_janeiro_de_2023,abolição,ameaça,armada,associação,atos,atos_antidemocraticos,brasília,conduta,congresso_nacional,considerável,constituído,crime,dano,delito,democrático,depredação,destruição,deterioração,estado,federal,golpe,governo,grave,grupo,inflamável,invasão,legitimamente,manifestante,militar,objetivo,palacio_do_planalto,patrimônio,poder,polícia,praca_dos_tres_poderes,prejuízo,prática,prédio,público,qualificado,relatório,república,réu,sede,substância,tentativa,tombado,violencia,vítima
8_de_janeiro_de_2023,0.0,0.0,0.0,0.0,0.0,0.3271073735913181,0.0,0.21859263001445878,0.0,0.06273751805163404,0.0,0.0,0.05411375790338168,0.0,0.0,0.0,0.0794663311953676,0.0,0.0,0.0,0.15073666362247287,0.0,0.0,0.0,0.0,0.0,0.16266777497887913,0.0,0.0,0.0,0.16000891214963375,0.0,0.0,0.012327449183488663,0.09792866346449368,0.009359073317316238,0.0,0.10927951172107483,0.0,0.11219027461823006,0.0,0.29937430606387716,0.0,0.0,0.12242281008149228,0.0,0.0,0.0,0.0,0.0
abolição,0.0,0.0,0.25022890345216053,0.4320947392931176,0.3939021263866377,0.0,0.0,0.0,0.2094111843209863,0.0,0.38309613172070117,0.007306383376647632,0.23672852770891295,0.3706496225111474,0.19698506722074338,0.45720906081788204,0.0,0.0,0.34417676637519945,0.31891497690433873,0.0,0.3174120371534306,0.0160123887329884,0.24263237456295839,0.0,0.35409224708191095,0.0,0.06127594684231378,0.0,0.0,0.0,0.0,0.27099240722516893,0.0,0.0,0.0,0.2861310560838059,0.2846536555625201,0.0,0.0,0.47498112709766854,0.0,0.11594288898422704,0.10175750886098055,0.0,0.35795613867200626,0.326951046677437,0.35801462237523046,0.34120791365811437,0.3596597140799103
ameaça,0.0,0.25022890345216053,0.0,0.28080004245253776,0.23039123756677204,0.0,0.0,0.0,0.16951948056553007,0.0,0.5842619705704337,0.43579370492752184,0.12665232241307312,0.3286387867799947,0.11780474960360279,0.2547236182955361,0.0,0.10342565226883088,0.4482115215105352,0.20761722436351937,0.0,0.21203544931968987,0.30460773690608606,0.571553205754651,0.0,0.5735719566099492,0.0,0.45850371879635315,0.0,0.0,0.0,0.0,0.3989531843492583,0.002378841683239918,0.0,0.009692433456992739,0.5051502680351612,0.10235496861139767,0.0,0.019471549449416908,0.4422221528771637,0.0,0.0,0.0,0.08796616375242658,0.5783188498618851,0.1589612408393811,0.38986585047722966,0.36350273107492265,0.5543586665770213
armada,0.0,0.4320947392931176,0.28080004245253776,0.0,0.5099113945077323,0.0,0.0,0.0,0.3398425706916014,0.0,0.45363102244159037,0.0,0.27393163857746716,0.43452384628759455,0.08911424702977187,0.3529651555086135,0.0,0.0,0.42864128671599394,0.261156369182819,0.0,0.2876653288520689,0.0,0.3121979120880997,0.0,0.42748942527293377,0.0,0.0,0.0,0.0,0.0,0.0,0.3635585635931423,0.0,0.0,0.0,0.35172609291713747,0.26193842151647867,0.0,0.05916990238245869,0.5547267626082859,0.0,0.0,0.11740362623011472,0.0,0.43746466920854954,0.3175946644806218,0.47393469631432356,0.271287329641652,0.4103604975621957
associação,0.0,0.3939021263866377,0.23039123756677204,0.5099113945077323,0.0,0.03557431755671945,0.2853143892305555,0.0,0.38544874610277186,0.0,0.32186464409525006,0.0,0.344012921604829,0.33006752461449435,0.24281770335846722,0.29445383787549206,0.0,0.0,0.2502405546725375,0.19254577649637017,0.0,0.2186738777047383,0.0,0.19216905006166254,0.0,0.41110668126725003,0.0,0.0,0.0,0.0,0.09076006564017591,0.0,0.22367601290561737,0.0,0.0,0.0,0.21692389691954309,0.39800913582125236,0.0,0.0,0.4437307209840498,0.0,0.0,0.08745581508642727,0.045196297745711024,0.42129827662951097,0.0,0.2780780943351283,0.20793575567910225,0.26727160520498633
atos,0.3271073735913181,0.0,0.0,0.0,0.03557431755671945,0.0,0.0,0.06839154340507854,0.019749680194023383,0.17337998745164976,0.0,0.0,0.03710630093401423,0.0,0.0,0.0,0.39151060222402967,0.07435579289791386,0.0,0.0,0.0013369028618400037,0.0,0.0,0.0,0.0,0.0,0.25943420341586704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11992473345176333,0.0,0.17046968790239608,0.14564991748418915,0.1520823659858625,0.0,0.11681482044148886,0.0,0.0,0.1268173812932555,0.0,0.02604352657327308,0.0,0.0,0.0
atos_antidemocraticos,0.0,0.0,0.0,0.0,0.2853143892305555,0.0,0.0,0.03386431813664264,0.0,0.0,0.0,0.0,0.1457265428473777,0.0,0.12055639387667426,0.0,0.0,0.0,0.0,0.0,0.03509194655089798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02178816106429688,0.07592558148466476,0.0,0.0,0.27730860939165475,0.0,0.0,0.0,0.18612056848767017,0.09407629725412567,0.0,0.1571540755245946,0.0,0.05322764940359262,0.0,0.0,0.0
brasília,0.21859263001445878,0.0,0.0,0.0,0.0,0.06839154340507854,0.03386431813664264,0.0,0.0,0.1684460868703875,0.0,0.0,0.0,0.0,0.0,0.0,0.11580721460717039,0.16433358395320216,0.0,0.0,0.13135935049641073,0.0,0.0,0.0015353553188075459,0.15433292156557588,0.0,0.0,0.01272138919567901,0.0012009121492042628,0.2856726800562906,0.008596895172751362,0.0,0.0,0.0,0.18229984327349927,0.35121178071966935,0.0,0.0,0.05667136286237115,0.0,0.0,0.2567767014641937,0.0,0.0,0.20704028368282723,0.0,0.0,0.0,0.02083527050153415,0.0
conduta,0.0,0.2094111843209863,0.16951948056553007,0.3398425706916014,0.38544874610277186,0.019749680194023383,0.0,0.0,0.0,0.048394488579531006,0.2098835528364734,0.08302498727586863,0.19638908281977774,0.1890602022596188,0.08561280332848006,0.21055436907991582,0.2634736555956616,0.0,0.0,0.1808869121669824,0.0,0.17875689112075105,0.0,0.22204220084495976,0.0,0.282031874464575,0.15070218020383155,0.07026142564099612,0.0,0.0,0.0,0.0,0.058510334841506716,0.0,0.0,0.0,0.09786334356190739,0.32011614581443587,0.06677007865592782,0.0,0.3027084272672288,0.0,0.024164948335195696,0.1537531684297458,0.0,0.29957600310379967,0.012334749627215721,0.0,0.1332782089979166,0.1569175415436167
congresso_nacional,0.06273751805163404,0.0,0.0,0.0,0.0,0.17337998745164976,0.0,0.1684460868703875,0.048394488579531006,0.0,0.12846710822397886,0.03258909802321995,0.043197023801431776,0.0,0.14643067715435085,0.0,0.44833879877698374,0.41630218045520756,0.05888668921360078,0.0,0.0,0.0,0.0069507687053717345,0.0,0.2570284893807955,0.10822076424586226,0.3649655932269649,0.0379872906638064,0.0,0.0,0.32076332027644744,0.3148109788269212,0.1415059250706988,0.12005751513804967,0.0,0.28668741645134893,0.13942315370957012,0.0,0.379036973115057,0.022389364289427276,0.0,0.0,0.07028757434658407,0.0,0.40514696746021384,0.12601449819645918,0.0,0.0,0.018369289219281295,0.05714603988637189
