,codigo,nao,sob,br,teor,portal,ww,jus,http,autenticacao,autenticardocumento,asp,senha,pagina,inteiro,penal,pela,i,direito,estado,min,contra,pelo,ap,moraes,alexandre,crimes,pessoas,dia,democratico,denuncia,vogal,ii,crime,violencia,p,n,criminosa,atos,palacio_do_planalto,todos,associacao,ja,lei,foram,publico,republica,mesmo,acao,rd,poderes,grupo,pratica,patrimonio,forma,m,unico,denunciado,ameaca,bem,paragrafo,ainda,caso,assim,geral,grave,manifestantes,l,congresso_nacional,corte,relacao,nq,iv,exercicio,condutas,reu,abolicao,pena,policia,golpe,competencia,foro,ministerio,inq,outros,sentido,meio,prerrogativa,alem,violenta,presente,conforme,fatos,poder,tem,qualquer,r,governo,dano,quanto,parte,emprego,prejuizo,uniao,fim,momento,eett,denunciados,fato,juizo,esta,conduta,defesa,existencia,pelos,silva,militar,circunstancias,rel,sendo,sido,invasao,paulo,praca_dos_tres_poderes,autoria,razao,termos,nesse,portanto,causa,delito,sem,objetivo,seguranca,inclusive,concurso,julgamento,constitucionais,lucia,acusado,c,delitos,demais,seja,participacao,dias,investigados,deve,acoes,anos
codigo,95374.0,27769.0,66572.0,60857.0,60984.0,61759.0,58744.0,59728.0,57642.0,62778.0,63821.0,64870.0,65725.0,59479.0,61621.0,43263.0,19264.0,29108.0,17128.0,18677.0,31431.0,15500.0,13512.0,29768.0,28975.0,29374.0,15353.0,11919.0,12544.0,12961.0,13496.0,26181.0,15994.0,13209.0,12128.0,16074.0,9912.0,11107.0,8485.0,6721.0,12595.0,10567.0,6959.0,14286.0,7168.0,8720.0,7407.0,6912.0,8427.0,18382.0,7028.0,5049.0,8116.0,10524.0,7794.0,12330.0,14082.0,5643.0,10708.0,6216.0,13617.0,5720.0,8005.0,6442.0,5781.0,9917.0,5095.0,10966.0,4913.0,6869.0,7327.0,13737.0,10609.0,5548.0,6128.0,8409.0,7429.0,9751.0,3898.0,7778.0,5844.0,4631.0,6099.0,5308.0,4159.0,4695.0,5942.0,4408.0,4493.0,6816.0,5071.0,5400.0,5580.0,3536.0,3482.0,4716.0,6593.0,4759.0,7499.0,4870.0,4515.0,6768.0,6095.0,6503.0,5197.0,3997.0,10123.0,4307.0,4519.0,3586.0,3908.0,4507.0,4596.0,3977.0,4604.0,4290.0,2619.0,4902.0,4382.0,3482.0,3808.0,2873.0,4190.0,4228.0,4372.0,4188.0,6223.0,3421.0,3610.0,6779.0,4853.0,3214.0,3493.0,2910.0,3145.0,5373.0,3791.0,3366.0,3083.0,3773.0,5360.0,3678.0,3344.0,2821.0,3060.0,5040.0,2959.0,3931.0,3031.0,5762.0
nao,27769.0,81016.0,21495.0,19840.0,19711.0,19469.0,19685.0,19541.0,19737.0,19245.0,19192.0,19148.0,19112.0,19462.0,19225.0,24128.0,16581.0,10745.0,12862.0,11496.0,12746.0,9820.0,13552.0,11333.0,8558.0,8596.0,9941.0,10117.0,8151.0,7873.0,10480.0,9553.0,7811.0,11047.0,6065.0,6486.0,5239.0,7496.0,6729.0,5882.0,7441.0,5999.0,9100.0,5779.0,6050.0,10004.0,8073.0,8821.0,8289.0,6652.0,7530.0,7075.0,6665.0,3572.0,9541.0,2149.0,3364.0,5608.0,3166.0,6892.0,2870.0,8740.0,8571.0,6956.0,6117.0,3462.0,5986.0,2120.0,3804.0,7029.0,7234.0,5232.0,3282.0,6567.0,5906.0,6508.0,2768.0,5577.0,3448.0,2570.0,6934.0,7747.0,7910.0,4666.0,4917.0,7244.0,3449.0,7431.0,3776.0,1644.0,6062.0,4431.0,6130.0,6908.0,6483.0,7393.0,2597.0,4115.0,2240.0,5678.0,6684.0,2191.0,2031.0,1822.0,4479.0,5335.0,3036.0,5027.0,5688.0,5956.0,4859.0,5831.0,4480.0,4761.0,2658.0,1668.0,3480.0,4943.0,5099.0,2617.0,4826.0,2236.0,2895.0,2510.0,3115.0,5630.0,3955.0,5134.0,4347.0,4162.0,5107.0,5001.0,3435.0,2171.0,3316.0,2677.0,3803.0,3122.0,2764.0,5644.0,2140.0,4524.0,3051.0,5729.0,3146.0,3347.0,3919.0,3997.0,5147.0,2647.0
sob,66572.0,21495.0,72583.0,60806.0,58610.0,61962.0,58214.0,59449.0,56953.0,63208.0,64464.0,65723.0,64266.0,57234.0,59641.0,17328.0,10928.0,19451.0,9080.0,9919.0,29276.0,8577.0,9488.0,27929.0,26947.0,27373.0,9296.0,7901.0,8393.0,6112.0,7256.0,25400.0,6930.0,7426.0,5934.0,14238.0,6823.0,6319.0,6635.0,5754.0,6269.0,5676.0,5956.0,6313.0,6177.0,5652.0,6086.0,5208.0,5077.0,17534.0,4928.0,4607.0,5248.0,4541.0,5537.0,4438.0,4642.0,4248.0,4012.0,4575.0,4373.0,4765.0,4633.0,4751.0,4743.0,3838.0,5443.0,3516.0,3531.0,4523.0,4429.0,13040.0,3568.0,3460.0,3692.0,4805.0,2783.0,6124.0,4255.0,2832.0,4159.0,4135.0,3813.0,3897.0,3979.0,3511.0,3615.0,3999.0,3041.0,2452.0,3386.0,3749.0,3452.0,3327.0,2417.0,3163.0,5801.0,2829.0,3124.0,2991.0,3738.0,2890.0,2272.0,2415.0,3276.0,3087.0,9677.0,3304.0,3213.0,2844.0,2836.0,2592.0,2931.0,3066.0,2708.0,2611.0,2629.0,3340.0,2658.0,2435.0,2795.0,2692.0,3107.0,2469.0,2502.0,2073.0,3300.0,2344.0,2706.0,2682.0,2488.0,2368.0,2257.0,3200.0,2128.0,2886.0,3018.0,2400.0,2481.0,2422.0,2676.0,2725.0,2793.0,1894.0,2882.0,2854.0,2550.0,2319.0,2747.0,2541.0
br,60857.0,19840.0,60806.0,68367.0,52085.0,65694.0,64621.0,65705.0,63161.0,64400.0,63109.0,61820.0,57779.0,50639.0,53161.0,16307.0,9780.0,17454.0,8994.0,9906.0,26427.0,8369.0,9180.0,24853.0,24280.0,24703.0,8570.0,6984.0,8306.0,6327.0,7002.0,22630.0,6543.0,6066.0,5881.0,12830.0,6802.0,5557.0,6586.0,5397.0,5916.0,5256.0,5596.0,5856.0,6227.0,5627.0,5408.0,4673.0,5012.0,15286.0,4939.0,4907.0,4490.0,4638.0,5056.0,4128.0,4643.0,4180.0,4013.0,4092.0,4315.0,4563.0,4223.0,4611.0,4093.0,3827.0,4703.0,3353.0,3498.0,4239.0,4103.0,11304.0,3614.0,3470.0,3314.0,4321.0,2790.0,4199.0,3515.0,2738.0,4106.0,3814.0,3794.0,3474.0,3519.0,3230.0,3496.0,3691.0,3117.0,2466.0,3029.0,3278.0,3240.0,3025.0,2445.0,3069.0,5190.0,2952.0,2801.0,3066.0,3265.0,2835.0,2532.0,2450.0,3039.0,2784.0,8550.0,3508.0,2924.0,2742.0,2850.0,2462.0,2718.0,2410.0,3046.0,2694.0,2455.0,2702.0,2703.0,2555.0,2681.0,2513.0,2876.0,2342.0,2429.0,2099.0,3292.0,2168.0,2730.0,2618.0,2316.0,2391.0,2457.0,2510.0,2131.0,2088.0,2910.0,2176.0,2494.0,2172.0,2356.0,2220.0,2460.0,1851.0,2647.0,3227.0,2345.0,2190.0,2496.0,2493.0
teor,60984.0,19711.0,58610.0,52085.0,67821.0,53231.0,49432.0,50670.0,48148.0,54468.0,55735.0,57002.0,60990.0,65175.0,65164.0,15741.0,9875.0,21265.0,8452.0,9511.0,28766.0,8013.0,8750.0,31208.0,28056.0,27480.0,8363.0,6837.0,8119.0,5967.0,7119.0,26536.0,6318.0,6095.0,5561.0,15908.0,6851.0,5534.0,6337.0,5539.0,5607.0,5361.0,5521.0,5642.0,5918.0,5757.0,5360.0,4951.0,5019.0,20240.0,4807.0,4469.0,4590.0,4294.0,4767.0,4487.0,4577.0,4372.0,3840.0,4259.0,4322.0,4586.0,4366.0,4526.0,4315.0,3628.0,4759.0,3425.0,3546.0,4446.0,4065.0,15212.0,3260.0,3331.0,3464.0,4313.0,2776.0,4160.0,3532.0,2650.0,4292.0,4172.0,3902.0,3513.0,3585.0,3149.0,3219.0,4106.0,2972.0,2509.0,3070.0,3297.0,3543.0,3128.0,2760.0,3241.0,5911.0,2595.0,2668.0,2870.0,3191.0,2793.0,2289.0,2195.0,2990.0,3036.0,11297.0,3132.0,3025.0,2573.0,2736.0,2323.0,2673.0,2445.0,2551.0,2235.0,2401.0,2861.0,2733.0,2421.0,2788.0,2477.0,3072.0,2633.0,2439.0,2029.0,3056.0,2225.0,2540.0,2533.0,2257.0,2360.0,2240.0,2521.0,2105.0,1918.0,2772.0,2189.0,2359.0,2298.0,2418.0,2167.0,2067.0,1921.0,2474.0,2335.0,2467.0,2467.0,2452.0,2510.0
portal,61759.0,19469.0,61962.0,65694.0,53231.0,67412.0,63100.0,64390.0,61799.0,65685.0,64388.0,63091.0,59028.0,51837.0,54376.0,16040.0,9566.0,17732.0,8749.0,9654.0,26878.0,8291.0,8931.0,25420.0,24759.0,25189.0,8262.0,6923.0,8126.0,6112.0,6914.0,23178.0,6475.0,5991.0,5748.0,12941.0,6402.0,5344.0,5983.0,5373.0,5640.0,5062.0,5555.0,5796.0,6141.0,5559.0,5339.0,4606.0,4752.0,15734.0,4889.0,4220.0,4343.0,4591.0,4950.0,4137.0,4594.0,4085.0,3950.0,4203.0,4274.0,4534.0,4121.0,4567.0,4090.0,3766.0,4809.0,3290.0,3459.0,4195.0,4115.0,11642.0,3564.0,3440.0,3263.0,4296.0,2702.0,4185.0,3475.0,2704.0,4083.0,3802.0,3759.0,3441.0,3399.0,3130.0,3592.0,3684.0,3122.0,2411.0,2975.0,3189.0,3171.0,3009.0,2379.0,3011.0,5254.0,2875.0,2782.0,2982.0,3489.0,2791.0,2342.0,2410.0,2870.0,2764.0,8677.0,3058.0,2896.0,2711.0,2663.0,2314.0,2710.0,2378.0,2872.0,2455.0,2308.0,2685.0,2676.0,2334.0,2534.0,2661.0,2861.0,2334.0,2413.0,2064.0,3189.0,2141.0,2470.0,2593.0,2251.0,2240.0,2198.0,2469.0,1985.0,2077.0,2874.0,2164.0,2491.0,2164.0,2343.0,2190.0,2284.0,1805.0,2216.0,2690.0,2334.0,2169.0,2510.0,2423.0
ww,58744.0,19685.0,58214.0,64621.0,49432.0,63100.0,67292.0,65685.0,65690.0,61795.0,60499.0,59206.0,55152.0,48010.0,50540.0,16557.0,9662.0,16887.0,9105.0,9913.0,25401.0,8361.0,9205.0,23716.0,23254.0,23678.0,8599.0,7069.0,8281.0,6320.0,7104.0,21544.0,6666.0,6098.0,5804.0,12222.0,6451.0,5641.0,6002.0,5433.0,5855.0,5295.0,5658.0,5995.0,5938.0,5619.0,5427.0,4709.0,4919.0,14422.0,5050.0,4325.0,4506.0,4722.0,5132.0,4119.0,4722.0,4141.0,4092.0,4136.0,4380.0,4622.0,4223.0,4663.0,4133.0,3905.0,4632.0,3381.0,3571.0,4265.0,4162.0,10635.0,3739.0,3522.0,3335.0,4384.0,2785.0,4235.0,3499.0,2819.0,4161.0,3845.0,3815.0,3540.0,3462.0,3248.0,3528.0,3715.0,3169.0,2467.0,3144.0,3226.0,3245.0,3069.0,2451.0,3131.0,5082.0,3025.0,2857.0,3146.0,3305.0,2875.0,2474.0,2544.0,3001.0,2754.0,7975.0,3128.0,2929.0,2810.0,2711.0,2370.0,2762.0,2417.0,3114.0,2505.0,2375.0,2689.0,2763.0,2376.0,2578.0,2547.0,2873.0,2333.0,2463.0,2139.0,3274.0,2202.0,2531.0,2685.0,2340.0,2263.0,2352.0,2512.0,2013.0,2138.0,3028.0,2203.0,2508.0,2180.0,2394.0,2249.0,2400.0,1865.0,2248.0,2779.0,2373.0,2172.0,2522.0,2555.0
jus,59728.0,19541.0,59449.0,65705.0,50670.0,64390.0,65685.0,67034.0,64384.0,63085.0,61787.0,60489.0,56425.0,49253.0,51793.0,16354.0,9571.0,17148.0,8919.0,9818.0,25903.0,8276.0,9041.0,24266.0,23739.0,24166.0,8350.0,6940.0,8212.0,6245.0,7058.0,22066.0,6597.0,6042.0,5743.0,12418.0,6420.0,5404.0,5965.0,5382.0,5752.0,5085.0,5603.0,5909.0,5891.0,5590.0,5394.0,4640.0,4788.0,14846.0,4994.0,4207.0,4369.0,4662.0,5048.0,4122.0,4664.0,4120.0,4039.0,4106.0,4329.0,4598.0,4183.0,4628.0,4106.0,3853.0,4620.0,3347.0,3513.0,4238.0,4127.0,10961.0,3675.0,3488.0,3308.0,4348.0,2750.0,4266.0,3484.0,2777.0,4132.0,3828.0,3772.0,3507.0,3426.0,3183.0,3493.0,3702.0,3081.0,2444.0,3040.0,3209.0,3217.0,3044.0,2384.0,3068.0,5128.0,2972.0,2829.0,3046.0,3285.0,2845.0,2427.0,2495.0,2892.0,2748.0,8208.0,3074.0,2919.0,2775.0,2693.0,2349.0,2732.0,2398.0,2872.0,2480.0,2349.0,2713.0,2742.0,2358.0,2560.0,2529.0,2867.0,2331.0,2446.0,2112.0,3243.0,2168.0,2485.0,2651.0,2269.0,2252.0,2236.0,2496.0,2003.0,2068.0,2949.0,2189.0,2500.0,2220.0,2373.0,2200.0,2360.0,1843.0,2236.0,2759.0,2358.0,2170.0,2496.0,2451.0
http,57642.0,19737.0,56953.0,63161.0,48148.0,61799.0,65690.0,64384.0,66995.0,60489.0,59194.0,57900.0,53842.0,46716.0,49242.0,16628.0,9712.0,16632.0,9145.0,10017.0,24910.0,8455.0,9197.0,23137.0,22771.0,23192.0,8462.0,7086.0,8351.0,6401.0,7182.0,20980.0,6741.0,6124.0,5872.0,11912.0,6487.0,5494.0,6033.0,5455.0,5882.0,5124.0,5716.0,6058.0,5986.0,5652.0,5460.0,4690.0,4856.0,13998.0,5111.0,4263.0,4413.0,4791.0,5176.0,4118.0,4750.0,4163.0,4147.0,4172.0,4401.0,4660.0,4269.0,4702.0,4166.0,3962.0,4645.0,3421.0,3591.0,4293.0,4199.0,10309.0,3808.0,3560.0,3370.0,4417.0,2821.0,4258.0,3518.0,2863.0,4191.0,3863.0,3802.0,3574.0,3472.0,3253.0,3565.0,3731.0,3149.0,2493.0,3118.0,3257.0,3280.0,3099.0,2403.0,3143.0,5009.0,3084.0,2887.0,3142.0,3330.0,2907.0,2523.0,2594.0,2940.0,2760.0,7742.0,3132.0,2944.0,2848.0,2732.0,2394.0,2794.0,2441.0,2978.0,2534.0,2403.0,2694.0,2795.0,2395.0,2597.0,2566.0,2873.0,2335.0,2484.0,2170.0,3305.0,2205.0,2519.0,2719.0,2297.0,2276.0,2287.0,2531.0,2024.0,2120.0,3034.0,2218.0,2517.0,2189.0,2417.0,2234.0,2443.0,1893.0,2265.0,2810.0,2391.0,2176.0,2545.0,2455.0
autenticacao,62778.0,19245.0,63208.0,64400.0,54468.0,65685.0,61795.0,63085.0,60489.0,66984.0,65683.0,64384.0,60308.0,53081.0,55628.0,15905.0,9438.0,17968.0,8645.0,9587.0,27373.0,8079.0,8786.0,25975.0,25205.0,25635.0,8226.0,6781.0,8041.0,6054.0,6863.0,23698.0,6415.0,5971.0,5601.0,13205.0,6364.0,5324.0,5923.0,5325.0,5594.0,5057.0,5467.0,5726.0,5777.0,5530.0,5316.0,4593.0,4741.0,16118.0,4845.0,4160.0,4338.0,4506.0,4891.0,4152.0,4566.0,4074.0,3914.0,4041.0,4251.0,4465.0,4094.0,4545.0,4091.0,3729.0,4601.0,3270.0,3426.0,4180.0,4043.0,11939.0,3506.0,3394.0,3244.0,4278.0,2683.0,4172.0,3455.0,2674.0,4063.0,3792.0,3742.0,3411.0,3391.0,3110.0,3396.0,3678.0,2974.0,2400.0,2946.0,3186.0,3152.0,2994.0,2382.0,2995.0,5319.0,2828.0,2755.0,2919.0,3229.0,2770.0,2304.0,2375.0,2854.0,2745.0,8913.0,3008.0,2888.0,2681.0,2650.0,2299.0,2659.0,2373.0,2729.0,2412.0,2292.0,2688.0,2653.0,2328.0,2524.0,2484.0,2862.0,2338.0,2399.0,2044.0,3165.0,2135.0,2466.0,2569.0,2237.0,2233.0,2182.0,2463.0,1979.0,1998.0,2840.0,2153.0,2488.0,2161.0,2333.0,2168.0,2248.0,1794.0,2210.0,2661.0,2329.0,2170.0,2447.0,2425.0
